source,station_code,station_name,lat,lon,height_m,start_time,duration_s,sampling_rate_hz,intensity,acc_NS,acc_EW,acc_UD,acc_H,acc_total,vel_NS,vel_EW,vel_UD,vel_H,vel_total,disp_NS,disp_EW,disp_UD,disp_H,disp_total
JMA,41308,さいたま浦和区高砂,35.8582,139.6485,,2025-12-08T23:16:30.000,360.0,100,2,4.79,-4.276,-1.657,4.833,4.849,-1.204,1.3,0.585,1.385,1.451,-0.638,2.401,-1.518,2.459,2.783
JMA,41309,川越市旭町,35.9003,139.4731,,2025-12-08T23:16:40.000,240.0,100,2,-3.544,4.331,1.771,4.468,4.514,-0.975,1.269,-0.585,1.287,1.288,-13.634,-10.076,1.429,16.954,17.014
JMA,41310,久喜市下早見,36.0595,139.6669,,2025-12-08T23:16:30.000,360.0,100,2,6.339,-6.994,-1.784,9.115,9.116,-1.274,-1.218,0.625,1.522,1.559,-1.928,3.295,13.074,3.567,13.552
JMA,41311,柏市旭町,35.86,139.9587,,2025-12-08T23:16:30.000,360.0,100,2,4.468,7.188,-1.734,7.256,7.27,1.063,-0.833,0.365,1.122,1.124,-1.884,1.356,-1.748,2.044,2.666
JMA,41312,成田市名古屋,35.8633,140.3619,,2025-12-08T23:16:20.000,420.0,100,2,5.233,3.352,2.181,5.234,5.383,-0.95,0.745,0.42,1.011,1.015,0.764,1.019,-0.259,1.09,1.108
JMA,41313,香取市佐原平田,35.8864,140.5066,,2025-12-08T23:16:30.000,360.0,100,2,6.68,-5.245,-3.889,6.901,7.052,1.047,1.209,0.51,1.209,1.211,-0.852,-4.579,-5.685,4.609,7.318
JMA,41314,木更津市太田,35.3786,139.9448,,2025-12-08T23:17:50.000,240.0,100,2,3.626,3.746,1.834,3.79,3.876,0.936,-0.874,0.498,1.005,1.006,-6.089,-13.283,-4.587,14.611,15.313
JMA,41315,東金市東新宿,35.5607,140.3681,,2025-12-08T23:16:40.000,360.0,100,2,4.003,-3.444,-1.395,4.005,4.025,-0.803,0.866,-0.405,0.988,0.999,-7.649,-9.677,4.113,12.335,13.003
JMA,41316,鴨川市八色,35.114,140.0982,,2025-12-08T23:18:00.000,120.0,100,2,-2.112,2.781,0.798,2.785,2.785,0.381,-0.58,0.253,0.581,0.584,1.107,-1.552,-1.691,1.687,2.387
JMA,41317,東京江戸川区中央,35.7071,139.8687,,2025-12-08T23:16:40.000,360.0,100,3,-7.051,7.629,-2.424,8.424,8.425,1.477,1.39,-0.474,1.748,1.749,34.076,45.243,-2.385,56.64,56.691
